Pore Size (nm),Crystallization Temperature (°C)
3,8.2880303222607,0.52% TiNTs/Polyphenylsulfone
4,8.43574121727202,0.52% TiNTs/Polyphenylsulfone
11,7.98476753694494,0.52% TiNTs/Polyphenylsulfone
16,21.598049574358214,0.52% TiNTs/Polyphenylsulfone
18,10.46249718616846,0.52% TiNTs/Polyphenylsulfone
3,-5.525643848063463,0.77% TiNTs/Polyphenylsulfone
4,-5.420877692931466,0.77% TiNTs/Polyphenylsulfone
11,-5.747018285794725,0.77% TiNTs/Polyphenylsulfone
16,-5.897333880058617,0.77% TiNTs/Polyphenylsulfone
18,-5.932104122432869,0.77% TiNTs/Polyphenylsulfone
