Curing Time (min),Shear Viscosity (Pa·s)
1,6.570978892969681,0.74% OAP-POSS/PTrFE
6,13.468127597920345,0.74% OAP-POSS/PTrFE
8,11.21858700882758,0.74% OAP-POSS/PTrFE
13,101.99668431944944,0.74% OAP-POSS/PTrFE
14,83.25498328145547,0.74% OAP-POSS/PTrFE
15,192.0380608919122,0.74% OAP-POSS/PTrFE
1,3.9071164060790533,0.11% OAP-POSS/PTrFE
6,5.341811223846884,0.11% OAP-POSS/PTrFE
8,5.792779756325317,0.11% OAP-POSS/PTrFE
13,3.656266446004433,0.11% OAP-POSS/PTrFE
14,11.068345706206737,0.11% OAP-POSS/PTrFE
15,9.234951679591479,0.11% OAP-POSS/PTrFE
