Heat Capacity (J/K),Dielectric Loss
2.1236407851809824,-3.4969981501257053,P(VDF-CTFE)
9.508452289140335,-3.9292295751755386,P(VDF-CTFE)
12.565129724057227,-3.991899276954227,P(VDF-CTFE)
19.760484181310964,-4.177133644753785,P(VDF-CTFE)
2.1236407851809824,-2.1355810575744463,BXZ
9.508452289140335,-0.2898073735442894,BXZ
12.565129724057227,1.7476386050613506,BXZ
19.760484181310964,10.76743367751116,BXZ
2.1236407851809824,8.627697355620327,TGDDM
9.508452289140335,8.156900814834026,TGDDM
12.565129724057227,7.978869421536251,TGDDM
19.760484181310964,7.8406291488353865,TGDDM
