Volume Fraction (%),Coercivity (A/m)
3,2.8320992311236455,TiNTs/BR
10,2.4501622911145056,TiNTs/BR
11,5.334443913115548,TiNTs/BR
12,6.711379421773702,TiNTs/BR
3,1.4687664692467335,Montmorillonite/BR
5,1.2697081052824113,Montmorillonite/BR
15,1.049235456148513,Montmorillonite/BR
17,1.043843979265333,Montmorillonite/BR
0.22686122609330894,-4.919400536277419,CCTO ceramics/BR
1.2669225569661813,-5.281400172649207,CCTO ceramics/BR
2.790965192622361,-5.426758144706037,CCTO ceramics/BR
17.896693836912807,-5.7959012806880885,CCTO ceramics/BR
10.216120839000101,6.098604480416929,BaTiO3/BR
13.130541154376743,6.0711448736904785,BaTiO3/BR
14.798169818377767,6.063207362410306,BaTiO3/BR
19.46349313792257,6.055246117421747,BaTiO3/BR
