Particle Density,Shear Modulus (GPa)
0,6.88128570192576,0.26% CCTO ceramics/Cellulose acetate butyrate
2,7.7211136046765,0.26% CCTO ceramics/Cellulose acetate butyrate
5,7.981395495372826,0.26% CCTO ceramics/Cellulose acetate butyrate
8,22.722985563780796,0.26% CCTO ceramics/Cellulose acetate butyrate
16,121.61134823206957,0.26% CCTO ceramics/Cellulose acetate butyrate
0,1.6090108730476747,0.5% CCTO ceramics/Cellulose acetate butyrate
2,1.159462680064692,0.5% CCTO ceramics/Cellulose acetate butyrate
5,0.920048973091585,0.5% CCTO ceramics/Cellulose acetate butyrate
8,0.7286930564531267,0.5% CCTO ceramics/Cellulose acetate butyrate
16,0.6379772696454465,0.5% CCTO ceramics/Cellulose acetate butyrate
0,-6.2789010524158035,0.16% CCTO ceramics/Cellulose acetate butyrate
2,-6.20971464489998,0.16% CCTO ceramics/Cellulose acetate butyrate
5,-6.176503154943832,0.16% CCTO ceramics/Cellulose acetate butyrate
8,-7.103606494689815,0.16% CCTO ceramics/Cellulose acetate butyrate
16,3.3338857927567904,0.16% CCTO ceramics/Cellulose acetate butyrate
0,7.240593991150073,0.99% CCTO ceramics/Cellulose acetate butyrate
2,7.461656642498446,0.99% CCTO ceramics/Cellulose acetate butyrate
5,6.98133647405707,0.99% CCTO ceramics/Cellulose acetate butyrate
8,6.81372470173372,0.99% CCTO ceramics/Cellulose acetate butyrate
16,6.634175182387304,0.99% CCTO ceramics/Cellulose acetate butyrate
0,-5.913474361245849,0.29% CCTO ceramics/Cellulose acetate butyrate
2,-5.813947871336318,0.29% CCTO ceramics/Cellulose acetate butyrate
5,-6.072827900277693,0.29% CCTO ceramics/Cellulose acetate butyrate
8,-4.396103677248889,0.29% CCTO ceramics/Cellulose acetate butyrate
16,13.869730952548089,0.29% CCTO ceramics/Cellulose acetate butyrate
