Shear Rate (1/s),Conductivity (S/m)
1,0.029686259789489577,0.86% Barium strontium titanate
6,-0.34590171034021494,0.86% Barium strontium titanate
8,-0.35151985409953157,0.86% Barium strontium titanate
13,-0.5459289649954531,0.86% Barium strontium titanate
18,-0.6644829697238287,0.86% Barium strontium titanate
0,4.972336893030439,0.88% Barium strontium titanate
4,6.454324748910258,0.88% Barium strontium titanate
10,30.107352604644078,0.88% Barium strontium titanate
14,118.532671938376,0.88% Barium strontium titanate
18,271.1692511781927,0.88% Barium strontium titanate
2.2492988775048572,6.876202719821544,0.95% Barium strontium titanate
5.894965756829677,6.580463075537917,0.95% Barium strontium titanate
9.496972180607084,6.473135873554879,0.95% Barium strontium titanate
13.266503740438065,6.438492057673331,0.95% Barium strontium titanate
17.953917534165477,6.423188684434244,0.95% Barium strontium titanate
