Synthesis Time (min),Shear Viscosity (Pa·s)
7.630529609836694,-4.458481603111997,Fe2O3/poly-HEMA
14.862729558512237,-4.722206289119421,Fe2O3/poly-HEMA
17.256350950173278,-4.76130015568136,Fe2O3/poly-HEMA
7.630529609836694,7.26778331398494,exfoliated graphene/poly-HEMA
14.862729558512237,6.9432155143579966,exfoliated graphene/poly-HEMA
17.256350950173278,6.882191025113765,exfoliated graphene/poly-HEMA
7.630529609836694,5.908909655157866,AuNPs/poly-HEMA
14.862729558512237,5.835911816428039,AuNPs/poly-HEMA
17.256350950173278,5.830434874139507,AuNPs/poly-HEMA
7.630529609836694,-2.780748876856071,Sodium titanate nanotubes/poly-HEMA
14.862729558512237,-2.8547996620691767,Sodium titanate nanotubes/poly-HEMA
17.256350950173278,-2.861081091767492,Sodium titanate nanotubes/poly-HEMA
7.630529609836694,6.000518026118601,graphene platelets/poly-HEMA
14.862729558512237,5.903096102709473,graphene platelets/poly-HEMA
17.256350950173278,5.897633393580806,graphene platelets/poly-HEMA
