Stirring Speed (rpm),Particle Size (nm)
2,-1.0596085924322054,expanded graphite/PMMA-PnBA-PMMA
12,-1.5822468304785833,expanded graphite/PMMA-PnBA-PMMA
17,-1.6027699568945315,expanded graphite/PMMA-PnBA-PMMA
2,8.234678026810101,Titanium dioxide/PMMA-PnBA-PMMA
12,81.63739972589258,Titanium dioxide/PMMA-PnBA-PMMA
17,-197.1971738107938,Titanium dioxide/PMMA-PnBA-PMMA
2,-2.1297825134522936,zirconium dioxide/PMMA-PnBA-PMMA
12,-1.9280221495785543,zirconium dioxide/PMMA-PnBA-PMMA
17,0.2775865144709533,zirconium dioxide/PMMA-PnBA-PMMA
2,3.34890939402712,TiNT/PMMA-PnBA-PMMA
12,2.8886408404108197,TiNT/PMMA-PnBA-PMMA
17,2.786305355566785,TiNT/PMMA-PnBA-PMMA
