Melting Temperature (°C),Tg (°C)
2.992438910883195,0.5093759204155435,0.6% MWCNT/PGMA
3.302238947163467,-0.3691151707000604,0.6% MWCNT/PGMA
10.755669566683565,1.7130420619696882,0.6% MWCNT/PGMA
15.506517974225929,-0.5995882545894946,0.6% MWCNT/PGMA
18.712093467204042,11.815774192379816,0.6% MWCNT/PGMA
2.992438910883195,-2.476414274522617,0.42% MWCNT/PGMA
3.302238947163467,-2.6489165682159603,0.42% MWCNT/PGMA
10.755669566683565,1.4445365668824506,0.42% MWCNT/PGMA
15.506517974225929,-2.7103196838928763,0.42% MWCNT/PGMA
18.712093467204042,14.712386553584839,0.42% MWCNT/PGMA
