Specific Heat Capacity (J/(g·K)),Tensile Strength (MPa)
1,6.431078924955491,0.9% Carbon black/IMPP
11,5.877004253642915,0.9% Carbon black/IMPP
15,5.851584694890096,0.9% Carbon black/IMPP
17,5.847284269532075,0.9% Carbon black/IMPP
1,5.006755607401963,0.21% Carbon black/IMPP
11,6.617448232429551,0.21% Carbon black/IMPP
15,15.330712995444886,0.21% Carbon black/IMPP
17,14.20070490055002,0.21% Carbon black/IMPP
1,-6.531557279539924,0.71% Carbon black/IMPP
11,-7.0854438469077365,0.71% Carbon black/IMPP
15,-7.228371718240233,0.71% Carbon black/IMPP
17,-7.261790777228387,0.71% Carbon black/IMPP
