wt%,Elastic Modulus (GPa)
3.572071800185581,-1.4663843725070604,graphene/Poly(glycidyl methacrylate)
4.506673330149605,0.10933520229677818,graphene/Poly(glycidyl methacrylate)
7.788532734899887,13.572804515269606,graphene/Poly(glycidyl methacrylate)
8.258361830396453,2.657396776387972,graphene/Poly(glycidyl methacrylate)
12.751510397475073,3.2804843039645952,graphene/Poly(glycidyl methacrylate)
16.32063334580218,94.79810308562377,graphene/Poly(glycidyl methacrylate)
3.572071800185581,-7.609841746860758,CaCO3/Poly(glycidyl methacrylate)
4.506673330149605,-7.58093268138004,CaCO3/Poly(glycidyl methacrylate)
7.788532734899887,-7.773155753826116,CaCO3/Poly(glycidyl methacrylate)
8.258361830396453,-7.7916201620964545,CaCO3/Poly(glycidyl methacrylate)
12.751510397475073,-7.849629618200792,CaCO3/Poly(glycidyl methacrylate)
16.32063334580218,-7.862887895452473,CaCO3/Poly(glycidyl methacrylate)
