Aging Temperature (°C),Particle Size Distribution
6.874082837485275,-5.899594690601246,PR
10.448708266590279,-6.042128349631772,PR
11.603084661403662,-6.098060280805233,PR
16.176439478465138,-6.239577543959392,PR
6.874082837485275,-4.459728155310196,Nylon 6
10.448708266590279,-1.457673556417503,Nylon 6
11.603084661403662,-4.350596023752964,Nylon 6
16.176439478465138,0.3198240189866688,Nylon 6
6.874082837485275,2.477872351124099,P(BA-a)
10.448708266590279,0.9906967741176,P(BA-a)
11.603084661403662,3.2509678210696378,P(BA-a)
16.176439478465138,-3.199854344729122,P(BA-a)
6.874082837485275,12.199097689105526,PVC-P
10.448708266590279,21.774662041491936,PVC-P
11.603084661403662,-14.569436502217748,PVC-P
16.176439478465138,173.09057763716672,PVC-P
6.874082837485275,-0.4836852116461614,Polybutadiene
10.448708266590279,25.818491027603766,Polybutadiene
11.603084661403662,-8.230525124158543,Polybutadiene
16.176439478465138,272.543551623984,Polybutadiene
