Nanoparticle Mass (%),Remanence (A/m)
1,4.845057139981976,PTFCE
3,4.550347785163496,PTFCE
6,4.317096306450275,PTFCE
13,4.0914278863920375,PTFCE
14,4.0475347621257125,PTFCE
1,4.751923094911142,PHEA
3,5.359554747710037,PHEA
6,5.034122541169776,PHEA
13,10.948375766946842,PHEA
14,5.350771185744094,PHEA
1,7.5953396880477175,PA 8
3,7.268638493903201,PA 8
6,7.370126074080064,PA 8
13,6.976674348588762,PA 8
14,6.977961158093175,PA 8
1,2.579878368669418,PHEA
3,2.3132454477194138,PHEA
6,2.0463839375277715,PHEA
13,1.7682233646003327,PHEA
14,1.7013302358681492,PHEA
1,-3.102215561797778,PVAc
3,-3.608654465585879,PVAc
6,-3.758964778216256,PVAc
13,-3.916721226161098,PVAc
14,-3.9220474584330223,PVAc
