Magnetic Field Strength (T),Charge Transfer Resistance (Ω·m²)
0,7.7443681666587105,OFG/PBI
1,7.0220850030658575,OFG/PBI
8,6.390997530110628,OFG/PBI
10,6.352236466960509,OFG/PBI
0,-2.6407779373815568,high abrasion furnace black/PBI
1,-3.1334777358653128,high abrasion furnace black/PBI
8,-3.6791291365340806,high abrasion furnace black/PBI
10,-3.7082834162290386,high abrasion furnace black/PBI
0,4.929545953597234,Reduced graphene oxide/PBI
1,5.5956776344906665,Reduced graphene oxide/PBI
8,14.965113054742265,Reduced graphene oxide/PBI
10,16.654644866925068,Reduced graphene oxide/PBI
0,4.0977927243108425,graphite nanoplatelets/PBI
1,4.479953394847035,graphite nanoplatelets/PBI
8,21.61494813106822,graphite nanoplatelets/PBI
10,19.879425870809314,graphite nanoplatelets/PBI
0,-6.235043932070647,Calcium Carbonate/PBI
1,-6.388222521425418,Calcium Carbonate/PBI
8,-7.1044790134617095,Calcium Carbonate/PBI
10,-7.148297293991901,Calcium Carbonate/PBI
