Time (s),Permittivity
1.0652791307356058,7.071502664444161,0.64% MWCNTs/Poly(butylene terephthalate)
6.793751273818538,6.752277555346424,0.64% MWCNTs/Poly(butylene terephthalate)
8.899080507281285,6.571670274650751,0.64% MWCNTs/Poly(butylene terephthalate)
11.44320648332849,6.5028789759647045,0.64% MWCNTs/Poly(butylene terephthalate)
12.61919633865983,6.4532246369164215,0.64% MWCNTs/Poly(butylene terephthalate)
12.779237918422222,6.45218845299592,0.64% MWCNTs/Poly(butylene terephthalate)
19.602119455331422,6.334785496761763,0.64% MWCNTs/Poly(butylene terephthalate)
1.0652791307356058,6.497206470733701,0.12% MWCNTs/Poly(butylene terephthalate)
6.793751273818538,5.893460559763302,0.12% MWCNTs/Poly(butylene terephthalate)
8.899080507281285,5.8506433055605775,0.12% MWCNTs/Poly(butylene terephthalate)
11.44320648332849,5.812930665276903,0.12% MWCNTs/Poly(butylene terephthalate)
12.61919633865983,5.8074970266898704,0.12% MWCNTs/Poly(butylene terephthalate)
12.779237918422222,5.806296285436038,0.12% MWCNTs/Poly(butylene terephthalate)
19.602119455331422,5.784744924779016,0.12% MWCNTs/Poly(butylene terephthalate)
1.0652791307356058,-4.320636836851515,0.51% MWCNTs/Poly(butylene terephthalate)
6.793751273818538,-4.850767487530374,0.51% MWCNTs/Poly(butylene terephthalate)
8.899080507281285,-4.8941661638426925,0.51% MWCNTs/Poly(butylene terephthalate)
11.44320648332849,-4.949803516257308,0.51% MWCNTs/Poly(butylene terephthalate)
12.61919633865983,-4.955740713595263,0.51% MWCNTs/Poly(butylene terephthalate)
12.779237918422222,-4.958703084780279,0.51% MWCNTs/Poly(butylene terephthalate)
19.602119455331422,-4.976989876410766,0.51% MWCNTs/Poly(butylene terephthalate)
1.0652791307356058,-1.4018982856968896,0.16% MWCNTs/Poly(butylene terephthalate)
6.793751273818538,-2.0832247507114734,0.16% MWCNTs/Poly(butylene terephthalate)
8.899080507281285,-2.124846807189787,0.16% MWCNTs/Poly(butylene terephthalate)
11.44320648332849,-2.15980195491555,0.16% MWCNTs/Poly(butylene terephthalate)
12.61919633865983,-2.1707793467214946,0.16% MWCNTs/Poly(butylene terephthalate)
12.779237918422222,-2.169965291365115,0.16% MWCNTs/Poly(butylene terephthalate)
19.602119455331422,-2.189568810489547,0.16% MWCNTs/Poly(butylene terephthalate)
1.0652791307356058,3.034920858769317,0.63% MWCNTs/Poly(butylene terephthalate)
6.793751273818538,4.0130447260988245,0.63% MWCNTs/Poly(butylene terephthalate)
8.899080507281285,4.538081280417985,0.63% MWCNTs/Poly(butylene terephthalate)
11.44320648332849,5.276529439998276,0.63% MWCNTs/Poly(butylene terephthalate)
12.61919633865983,5.062338680638913,0.63% MWCNTs/Poly(butylene terephthalate)
12.779237918422222,4.311458157749076,0.63% MWCNTs/Poly(butylene terephthalate)
19.602119455331422,-15.693453306037268,0.63% MWCNTs/Poly(butylene terephthalate)
