Film Thickness (µm),Modulus Of Elasticity (GPa)
2.5107420968803518,6.332056118862861,Ba0.7Sr0.3TiO3/DGEBA Epoxy Resin
4.346114344663836,6.007969126434376,Ba0.7Sr0.3TiO3/DGEBA Epoxy Resin
10.322302929686826,5.791110943402852,Ba0.7Sr0.3TiO3/DGEBA Epoxy Resin
2.5107420968803518,-1.1171844524058603,cellulose nanowhiskers/DGEBA Epoxy Resin
4.346114344663836,-1.0594378422533355,cellulose nanowhiskers/DGEBA Epoxy Resin
10.322302929686826,-1.3789170130461343,cellulose nanowhiskers/DGEBA Epoxy Resin
2.5107420968803518,6.397710588460513,9-anthracenemethanol/DGEBA Epoxy Resin
4.346114344663836,6.270198045391245,9-anthracenemethanol/DGEBA Epoxy Resin
10.322302929686826,6.035762098195713,9-anthracenemethanol/DGEBA Epoxy Resin
2.5107420968803518,-1.3631485234059761,multi-wall carbon nanotubes/DGEBA Epoxy Resin
4.346114344663836,-1.4915455298082505,multi-wall carbon nanotubes/DGEBA Epoxy Resin
10.322302929686826,-1.7837007879424251,multi-wall carbon nanotubes/DGEBA Epoxy Resin
