Thermal Conductivity (W/(m·K)),Ionic Conductivity (S/m)
1,1.6799517919536353,montmorillonite/Poly(butyl acrylate)
7,2.1234412085225935,montmorillonite/Poly(butyl acrylate)
11,27.08768630148931,montmorillonite/Poly(butyl acrylate)
17,306.56232505552447,montmorillonite/Poly(butyl acrylate)
1,7.861127475139343,graphene nanoplatelets/Poly(butyl acrylate)
7,13.42450145490061,graphene nanoplatelets/Poly(butyl acrylate)
11,44.65671753887884,graphene nanoplatelets/Poly(butyl acrylate)
17,282.38413161376434,graphene nanoplatelets/Poly(butyl acrylate)
1,-7.024872955127018,SiO2/Poly(butyl acrylate)
7,-7.2607509171831035,SiO2/Poly(butyl acrylate)
11,-7.455290663931538,SiO2/Poly(butyl acrylate)
17,-7.572285786122652,SiO2/Poly(butyl acrylate)
1,0.8357637476079083,titanium dioxide/Poly(butyl acrylate)
7,1.9177485732054596,titanium dioxide/Poly(butyl acrylate)
11,47.72242598711565,titanium dioxide/Poly(butyl acrylate)
17,164.51892759305707,titanium dioxide/Poly(butyl acrylate)
