Crosslinking Density (mol/m³),Fracture Toughness (MPa·m^0.5)
6,-3.991359404535516,0.75% graphene nanoribbon/Poly(ethylene terephthalate)
13,-4.433007119334886,0.75% graphene nanoribbon/Poly(ethylene terephthalate)
14,-4.438391702224076,0.75% graphene nanoribbon/Poly(ethylene terephthalate)
17,-4.52531812043886,0.75% graphene nanoribbon/Poly(ethylene terephthalate)
9,24.27757976916228,0.98% graphene nanoribbon/Poly(ethylene terephthalate)
10,-3.5300550436132863,0.98% graphene nanoribbon/Poly(ethylene terephthalate)
15,84.4983470157952,0.98% graphene nanoribbon/Poly(ethylene terephthalate)
16,-8.246302589551119,0.98% graphene nanoribbon/Poly(ethylene terephthalate)
2,7.675942362042668,0.6% graphene nanoribbon/Poly(ethylene terephthalate)
5,7.277771630878134,0.6% graphene nanoribbon/Poly(ethylene terephthalate)
16,6.933962454274333,0.6% graphene nanoribbon/Poly(ethylene terephthalate)
17,6.923301712870752,0.6% graphene nanoribbon/Poly(ethylene terephthalate)
3,0.6909441852376355,0.19% graphene nanoribbon/Poly(ethylene terephthalate)
6,2.499866115750266,0.19% graphene nanoribbon/Poly(ethylene terephthalate)
8,9.090976672410205,0.19% graphene nanoribbon/Poly(ethylene terephthalate)
15,-21.607581240546324,0.19% graphene nanoribbon/Poly(ethylene terephthalate)
