Nanoparticle Volume (%),Loss Factor
1.161311557599256,-6.66630818725265,Sodium polyacrylate
4.85664252357404,-7.214121808653599,Sodium polyacrylate
5.2842068741828925,-7.24199229773694,Sodium polyacrylate
13.599757384106866,-7.4261344750830265,Sodium polyacrylate
14.716373259716732,-7.429993614727391,Sodium polyacrylate
1.161311557599256,-1.7775632713919838,DGEBD Epoxy Resin
4.85664252357404,-2.3971886991830575,DGEBD Epoxy Resin
5.2842068741828925,-2.4707449385336,DGEBD Epoxy Resin
13.599757384106866,-2.6465221246275914,DGEBD Epoxy Resin
14.716373259716732,-2.6504127821728516,DGEBD Epoxy Resin
