Evaporation Temperature (°C),Elastic Modulus (GPa)
0.9235067220183413,-0.6748296631002608,0.49% cellulose nanowhiskers/Epoxy novolac viny ester resin
2.283504420874194,-1.252760147565008,0.49% cellulose nanowhiskers/Epoxy novolac viny ester resin
6.217814640237003,-1.4207911566721037,0.49% cellulose nanowhiskers/Epoxy novolac viny ester resin
17.9004195363142,-1.7506888927323896,0.49% cellulose nanowhiskers/Epoxy novolac viny ester resin
18.62177263633129,-1.753386620372995,0.49% cellulose nanowhiskers/Epoxy novolac viny ester resin
0.9235067220183413,7.357772943721233,0.82% cellulose nanowhiskers/Epoxy novolac viny ester resin
2.283504420874194,7.0525465482523915,0.82% cellulose nanowhiskers/Epoxy novolac viny ester resin
6.217814640237003,6.718694920358578,0.82% cellulose nanowhiskers/Epoxy novolac viny ester resin
17.9004195363142,6.558412791976738,0.82% cellulose nanowhiskers/Epoxy novolac viny ester resin
18.62177263633129,6.557476048147997,0.82% cellulose nanowhiskers/Epoxy novolac viny ester resin
0.9235067220183413,-5.014236435428074,0.97% cellulose nanowhiskers/Epoxy novolac viny ester resin
2.283504420874194,-5.156713045270294,0.97% cellulose nanowhiskers/Epoxy novolac viny ester resin
6.217814640237003,-4.906022688447727,0.97% cellulose nanowhiskers/Epoxy novolac viny ester resin
17.9004195363142,5.011796074801284,0.97% cellulose nanowhiskers/Epoxy novolac viny ester resin
18.62177263633129,-13.638355842762241,0.97% cellulose nanowhiskers/Epoxy novolac viny ester resin
0.9235067220183413,-5.855356186164026,0.15% cellulose nanowhiskers/Epoxy novolac viny ester resin
2.283504420874194,-5.850658300530811,0.15% cellulose nanowhiskers/Epoxy novolac viny ester resin
6.217814640237003,-4.915638331263312,0.15% cellulose nanowhiskers/Epoxy novolac viny ester resin
17.9004195363142,7.2388822741463965,0.15% cellulose nanowhiskers/Epoxy novolac viny ester resin
18.62177263633129,0.9874102171782084,0.15% cellulose nanowhiskers/Epoxy novolac viny ester resin
0.9235067220183413,7.54911057383231,0.88% cellulose nanowhiskers/Epoxy novolac viny ester resin
2.283504420874194,7.5235409003206035,0.88% cellulose nanowhiskers/Epoxy novolac viny ester resin
6.217814640237003,7.120943532760226,0.88% cellulose nanowhiskers/Epoxy novolac viny ester resin
17.9004195363142,6.99348029913293,0.88% cellulose nanowhiskers/Epoxy novolac viny ester resin
18.62177263633129,6.992754085908255,0.88% cellulose nanowhiskers/Epoxy novolac viny ester resin
