X-ray Dose (Gy),Pore Volume (cm³/g)
1,8.38153587205299,Poly(ethylene terephthalate)
2,8.407963934808851,Poly(ethylene terephthalate)
8,8.138122778717243,Poly(ethylene terephthalate)
15,7.895724301861038,Poly(ethylene terephthalate)
18,7.821756497580104,Poly(ethylene terephthalate)
0.9936388116973305,-0.8368593108693474,Unsaturated polyester resin
2.5835914097446144,-1.0395914804232893,Unsaturated polyester resin
6.965170794498803,-1.3934918676868167,Unsaturated polyester resin
15.131779707609049,-1.5004491737759282,Unsaturated polyester resin
15.896638537767265,-1.5037517984561901,Unsaturated polyester resin
