Stirring Speed (rpm),Flexural Modulus (GPa)
6.709449631689606,-3.9014757535338926,0.4% Silica/DGEBA Epoxy Resin
9.01008952252601,-2.940417368417029,0.4% Silica/DGEBA Epoxy Resin
18.35841021676678,-11.401639133791235,0.4% Silica/DGEBA Epoxy Resin
6.709449631689606,-2.4145932377804007,0.15% Silica/DGEBA Epoxy Resin
9.01008952252601,-2.466682054130122,0.15% Silica/DGEBA Epoxy Resin
18.35841021676678,-2.5375501982694666,0.15% Silica/DGEBA Epoxy Resin
6.709449631689606,-4.725734622215539,0.48% Silica/DGEBA Epoxy Resin
9.01008952252601,-4.80726737383683,0.48% Silica/DGEBA Epoxy Resin
18.35841021676678,-4.8651983778506604,0.48% Silica/DGEBA Epoxy Resin
6.709449631689606,-3.2974466822796957,0.17% Silica/DGEBA Epoxy Resin
9.01008952252601,-3.372574494199867,0.17% Silica/DGEBA Epoxy Resin
18.35841021676678,-3.4170413551826337,0.17% Silica/DGEBA Epoxy Resin
