Dielectric Constant,Permittivity
3.1927696005914763,0.6922231816402904,XNBR
9.730866775615523,0.35563501442942697,XNBR
11.53599357085108,0.3283693024337404,XNBR
13.410523679561825,0.31534890742722516,XNBR
3.1927696005914763,6.992924508208717,PA63T
9.730866775615523,13.744777494591956,PA63T
11.53599357085108,24.027981012806904,PA63T
13.410523679561825,20.01714576791543,PA63T
3.1927696005914763,3.2159550870552374,Bisphenol E cyanate ester resin
9.730866775615523,31.11329184189107,Bisphenol E cyanate ester resin
11.53599357085108,45.48822122364531,Bisphenol E cyanate ester resin
13.410523679561825,149.69000892708962,Bisphenol E cyanate ester resin
