filler labels,Thermal Conductivity (W/(m·K))
2.323391939567947,-3.910685237922217,Paraffin oil/PMS
6.568004759426338,-4.052098701260813,Paraffin oil/PMS
9.839428997090069,-4.206649104050154,Paraffin oil/PMS
2.323391939567947,2.9866499618484137,MMT/PMS
6.568004759426338,2.699113728562996,MMT/PMS
9.839428997090069,2.62962948497563,MMT/PMS
2.323391939567947,3.925714252317178,9-Anthracenemethanol/PMS
6.568004759426338,5.743421287575158,9-Anthracenemethanol/PMS
9.839428997090069,3.570574706800937,9-Anthracenemethanol/PMS
2.323391939567947,0.517471032780922,White mineral oil/PMS
6.568004759426338,0.18372020906259345,White mineral oil/PMS
9.839428997090069,0.10483685203239586,White mineral oil/PMS
