Decomposition Temperature (°C),Magnetization (A/m)
3,8.437834380341277,
4,8.11877852623085,
7,8.719052219668741,
10,10.578847062024929,
14,9.414349831814725,
15,17.07607581836431,
3,-3.8291144232183747,
4,-3.6783425700475822,
7,0.6438457078848501,
10,20.11197845282291,
14,65.04928909191173,
15,87.16382433341099,
3,0.3597811307162022,
4,0.7651438854728183,
7,0.7758820755618756,
10,0.8204342292639102,
14,3.3803422304758435,
15,2.9337924290769655,
3,7.809921406328208,
4,7.712300279256748,
7,7.504483580235578,
10,7.424997124398652,
14,7.391756205271998,
15,7.387275728022523,
3,6.045164167086822,
4,5.621152478084679,
7,14.161282491308366,
10,28.26609804507395,
14,87.3190798580692,
15,102.41814048341628,
