Young’s Modulus (GPa),Toughness (MJ/m³)
2.960627577061008,2.729317387729489,S-EB-S
3.5510740434597188,2.2398985273539203,S-EB-S
3.9370472826770975,3.0826378876410825,S-EB-S
6.036605527321013,3.7553581238940392,S-EB-S
11.810843859315534,6.01138810988,S-EB-S
14.64387756903966,1.344738542050603,S-EB-S
2.960627577061008,-3.544366462600279,PC
3.5510740434597188,-3.5962483198016915,PC
3.9370472826770975,-3.6794455732436875,PC
6.036605527321013,-3.7907955724134075,PC
11.810843859315534,-3.930093613988689,PC
14.64387756903966,-3.9456681027913447,PC
2.960627577061008,3.9699142065694124,EPDM
3.5510740434597188,4.930469271223745,EPDM
3.9370472826770975,4.4313725582531625,EPDM
6.036605527321013,10.339505536233464,EPDM
11.810843859315534,27.365104534095515,EPDM
14.64387756903966,90.47335719411697,EPDM
2.960627577061008,4.856902771550296,Nylon 12
3.5510740434597188,5.288610888307008,Nylon 12
3.9370472826770975,5.531640645616502,Nylon 12
6.036605527321013,4.890941998709013,Nylon 12
11.810843859315534,4.837645817942498,Nylon 12
14.64387756903966,2.6502012110628854,Nylon 12
2.960627577061008,-2.5439409446622476,Poly(ethyl methacrylate)
3.5510740434597188,-2.6775365007161347,Poly(ethyl methacrylate)
3.9370472826770975,-2.648729738425675,Poly(ethyl methacrylate)
6.036605527321013,-2.8245497944466265,Poly(ethyl methacrylate)
11.810843859315534,-2.953353956770572,Poly(ethyl methacrylate)
14.64387756903966,-2.9695244568825228,Poly(ethyl methacrylate)
