Neutron Flux (n/cm²/s),Tensile Modulus (GPa)
2,6.801075203240087,Polybutadiene
4,6.462525270328273,Polybutadiene
6,6.500917833898771,Polybutadiene
2,-7.370562152026355,Polyphenylsulfone
4,-7.620520368604494,Polyphenylsulfone
6,-7.753217277660399,Polyphenylsulfone
2,8.450637325898962,triglycidyl para-aminophenol
4,9.633107891863588,triglycidyl para-aminophenol
6,15.228878496357089,triglycidyl para-aminophenol
2,-6.237515639822609,EPDM rubber
4,-3.9807061980201253,EPDM rubber
6,-1.2986892685710512,EPDM rubber
