Melting Temperature (°C),Loss Modulus (Pa)
1.0288885604581655,-3.9413167784574306,0.16% SWCNT
9.331041447972408,-3.815095430336004,0.16% SWCNT
10.558497176114052,-4.297319961160942,0.16% SWCNT
13.631848643017175,-4.145886501615685,0.16% SWCNT
13.715932192506594,-3.474417282665325,0.16% SWCNT
1.0288885604581655,7.33160649663078,0.03% SWCNT
9.331041447972408,6.725920513258763,0.03% SWCNT
10.558497176114052,6.7159889945708,0.03% SWCNT
13.631848643017175,6.686654801011625,0.03% SWCNT
13.715932192506594,6.685546441769815,0.03% SWCNT
1.0288885604581655,6.379857309187234,0.08% SWCNT
9.331041447972408,6.130975535217482,0.08% SWCNT
10.558497176114052,5.734571447802342,0.08% SWCNT
13.631848643017175,5.527593873128781,0.08% SWCNT
13.715932192506594,8.373696471959956,0.08% SWCNT
