pH,Heat Of Fusion (J/g)
3.744440324494245,-1.8370153252714256,0.39% Copper(II) phenyl phosphate/Cellulose acetate butyrate
4.401249483410766,-1.8929252663480287,0.39% Copper(II) phenyl phosphate/Cellulose acetate butyrate
11.271579749057947,-2.0934878318606045,0.39% Copper(II) phenyl phosphate/Cellulose acetate butyrate
13.060484702057725,-2.1078822870535685,0.39% Copper(II) phenyl phosphate/Cellulose acetate butyrate
17.074899280918622,-2.1211154203368467,0.39% Copper(II) phenyl phosphate/Cellulose acetate butyrate
3.744440324494245,7.827882350254877,0.88% Copper(II) phenyl phosphate/Cellulose acetate butyrate
4.401249483410766,7.8540098951303605,0.88% Copper(II) phenyl phosphate/Cellulose acetate butyrate
11.271579749057947,7.574124883089234,0.88% Copper(II) phenyl phosphate/Cellulose acetate butyrate
13.060484702057725,7.561423352443572,0.88% Copper(II) phenyl phosphate/Cellulose acetate butyrate
17.074899280918622,7.546190670975879,0.88% Copper(II) phenyl phosphate/Cellulose acetate butyrate
3.744440324494245,8.612506910989957,0.86% Copper(II) phenyl phosphate/Cellulose acetate butyrate
4.401249483410766,9.051772134935481,0.86% Copper(II) phenyl phosphate/Cellulose acetate butyrate
11.271579749057947,23.437687192768784,0.86% Copper(II) phenyl phosphate/Cellulose acetate butyrate
13.060484702057725,32.34144473383227,0.86% Copper(II) phenyl phosphate/Cellulose acetate butyrate
17.074899280918622,85.1666919402458,0.86% Copper(II) phenyl phosphate/Cellulose acetate butyrate
