Drying Temperature (°C),Toughness (MJ/m³)
0.5082828049728216,-0.6785320208478494,carbon nanotube/PEA
4.81058880188036,-0.7827261671319071,carbon nanotube/PEA
5.329098985207961,-0.833244526136565,carbon nanotube/PEA
7.958825931767796,-0.9254450356105368,carbon nanotube/PEA
17.036447667618948,-1.2081301997357894,carbon nanotube/PEA
18.580607200861923,-1.2212988489627228,carbon nanotube/PEA
0.5082828049728216,2.3495588695150644,sodium montmorillonite/PEA
4.81058880188036,2.1865605137014383,sodium montmorillonite/PEA
5.329098985207961,2.1567591821231322,sodium montmorillonite/PEA
7.958825931767796,1.9167856909651864,sodium montmorillonite/PEA
17.036447667618948,1.6269719643112635,sodium montmorillonite/PEA
18.580607200861923,1.602506149679783,sodium montmorillonite/PEA
