Reaction Temperature (°C),Crystallization Temperature (°C)
7,7.990120447251785,PMMA
8,6.97529541743083,PMMA
12,9.135133369898508,PMMA
15,80.47901180288834,PMMA
5,8.458626775390032,PET
9,8.36520057043911,PET
14,8.149967623711651,PET
15,8.102001958542175,PET
2.9653486644503,10.230510846235655,PBuA
7.247938049125631,17.84477324268495,PBuA
10.495597956470387,46.97227849657788,PBuA
18.833917547203676,-254.60175860227244,PBuA
13,42.82612766603668,PEEK
14,-15.87551953688983,PEEK
16,-153.43812226587158,PEEK
18,591.1270339364138,PEEK
