Strain,Specific Heat (J/(g·K))
7.0833290144347805,0.7101800802229217,
8.433701643508156,0.6858399511689157,
10.04998413423747,0.6548493993662265,
11.31588006916163,0.6326842387895901,
13.354244709503249,0.6177952060503185,
15.06492890143653,0.6103464251109499,
7.0833290144347805,-3.0805634593283937,
8.433701643508156,-3.058512816431308,
10.04998413423747,-3.1683244518455225,
11.31588006916163,-3.234819217361963,
13.354244709503249,-3.291436394126577,
15.06492890143653,-3.319638060699172,
7.0833290144347805,-4.5338568130005115,
8.433701643508156,-4.1727379141165715,
10.04998413423747,-2.2892504916368637,
11.31588006916163,-5.077390330025138,
13.354244709503249,-2.6992256740160574,
15.06492890143653,-3.3315417079752176,
7.0833290144347805,4.230280530539906,
8.433701643508156,4.2119287892162705,
10.04998413423747,4.169616645738207,
11.31588006916163,4.151374777470156,
13.354244709503249,4.137920210063149,
15.06492890143653,4.130705476663015,
7.0833290144347805,1.7187273207659728,
8.433701643508156,1.651198576414818,
10.04998413423747,1.6137136159659902,
11.31588006916163,1.618619807436369,
13.354244709503249,1.5099643772697156,
15.06492890143653,1.4675836181132877,
