Drying Temperature (°C),Polarization Resistance (Ω·m²)
7.875365689088296,7.415214720249834,0.91% Calcium copper titanate/PAM
14.088969681989127,30.72574877100897,0.91% Calcium copper titanate/PAM
16.996489944469936,191.97873971446262,0.91% Calcium copper titanate/PAM
17.376591505002438,-74.29098240138052,0.91% Calcium copper titanate/PAM
17.767643701664255,227.74231558418504,0.91% Calcium copper titanate/PAM
7.875365689088296,5.704035668045165,0.93% Calcium copper titanate/PAM
14.088969681989127,5.560850919770983,0.93% Calcium copper titanate/PAM
16.996489944469936,5.498172110346603,0.93% Calcium copper titanate/PAM
17.376591505002438,5.498712657600242,0.93% Calcium copper titanate/PAM
17.767643701664255,5.483940470757062,0.93% Calcium copper titanate/PAM
7.875365689088296,3.8462304464983283,0.32% Calcium copper titanate/PAM
14.088969681989127,34.898011770786425,0.32% Calcium copper titanate/PAM
16.996489944469936,516.0377278340956,0.32% Calcium copper titanate/PAM
17.376591505002438,424.0559033885517,0.32% Calcium copper titanate/PAM
17.767643701664255,410.7620121546499,0.32% Calcium copper titanate/PAM
7.875365689088296,-5.685575074464455,0.35% Calcium copper titanate/PAM
14.088969681989127,-5.768935422263418,0.35% Calcium copper titanate/PAM
16.996489944469936,-5.777374547016972,0.35% Calcium copper titanate/PAM
17.376591505002438,-5.778708490219141,0.35% Calcium copper titanate/PAM
17.767643701664255,-5.7788335906425505,0.35% Calcium copper titanate/PAM
