Surfactant Concentration (M),Peel Strength (N/m)
2.591429110654475,3.4320037553655087,barium titanate/Epoxy novolac viny ester resin
7.860881192096558,5.114840556002013,barium titanate/Epoxy novolac viny ester resin
11.225252026741083,6.0884134232164495,barium titanate/Epoxy novolac viny ester resin
14.81900415961583,1.1891772595001395,barium titanate/Epoxy novolac viny ester resin
15.80643797989849,2.9536700672644214,barium titanate/Epoxy novolac viny ester resin
16.20825056846287,18.423091847483995,barium titanate/Epoxy novolac viny ester resin
17.1743137061653,-1.1256495788920908,barium titanate/Epoxy novolac viny ester resin
2.591429110654475,-0.9691915552328381,PVA/Epoxy novolac viny ester resin
7.860881192096558,0.3559768537111996,PVA/Epoxy novolac viny ester resin
11.225252026741083,-0.5142418588758932,PVA/Epoxy novolac viny ester resin
14.81900415961583,1.5984400663940113,PVA/Epoxy novolac viny ester resin
15.80643797989849,5.1276528407410344,PVA/Epoxy novolac viny ester resin
16.20825056846287,3.9296999519910267,PVA/Epoxy novolac viny ester resin
17.1743137061653,10.156863773568961,PVA/Epoxy novolac viny ester resin
2.591429110654475,-5.728096120037415,Organophilic clay/Epoxy novolac viny ester resin
7.860881192096558,-6.148346330794982,Organophilic clay/Epoxy novolac viny ester resin
11.225252026741083,-6.205327925655751,Organophilic clay/Epoxy novolac viny ester resin
14.81900415961583,-6.228607639040692,Organophilic clay/Epoxy novolac viny ester resin
15.80643797989849,-6.232392143265889,Organophilic clay/Epoxy novolac viny ester resin
16.20825056846287,-6.232426022949044,Organophilic clay/Epoxy novolac viny ester resin
17.1743137061653,-6.2349128461895615,Organophilic clay/Epoxy novolac viny ester resin
