Rotational Speed (rpm),Degradation Temperature (°C)
0,-3.487010069815458,0.66% TiNT/PA 11
1,-3.4790307441971233,0.66% TiNT/PA 11
13,60.435263262899255,0.66% TiNT/PA 11
14,103.525339354008,0.66% TiNT/PA 11
0,5.531616638720126,0.35% TiNT/PA 11
1,5.37503768964768,0.35% TiNT/PA 11
13,7.739512397877382,0.35% TiNT/PA 11
14,13.726661476557156,0.35% TiNT/PA 11
0,1.5042363152184182,0.39% TiNT/PA 11
1,1.6502213480711356,0.39% TiNT/PA 11
13,0.9206414660874296,0.39% TiNT/PA 11
14,0.9159862052449697,0.39% TiNT/PA 11
