Stirring Speed (rpm),Elastic Modulus (GPa)
7.262337163996067,0.061214601491638376,Aluminium oxide/PVAL
8.50298978844565,0.28309594781386993,Aluminium oxide/PVAL
10.502086543959388,-0.5683939681800032,Aluminium oxide/PVAL
19.40065234164633,1.407502544511809,Aluminium oxide/PVAL
19.694544432870693,13.089730523347495,Aluminium oxide/PVAL
1,1.7844410240632,Zinc Oxide/PVAL
2,2.606664990735019,Zinc Oxide/PVAL
7,7.665573376536634,Zinc Oxide/PVAL
9,38.42423563155897,Zinc Oxide/PVAL
15,156.0506755002372,Zinc Oxide/PVAL
