Particle Density,Oxidation Potential (V)
11.422686949841253,-4.986786518751239, Graphite/PCTFE
13.732141318816593,-5.004403918587177, Graphite/PCTFE
13.896952932050803,-5.006116151986613, Graphite/PCTFE
15.174541123840651,-5.0104027236986965, Graphite/PCTFE
11.422686949841253,-6.403140803819109,Al2O3/PCTFE
13.732141318816593,-6.419991120792636,Al2O3/PCTFE
13.896952932050803,-6.419613526457209,Al2O3/PCTFE
15.174541123840651,-6.426324349970958,Al2O3/PCTFE
11.422686949841253,8.195169598033274,OFG/PCTFE
13.732141318816593,16.12396009261326,OFG/PCTFE
13.896952932050803,7.421290077698783,OFG/PCTFE
15.174541123840651,18.405033796582902,OFG/PCTFE
