Surfactant Concentration (M),Magnetic Anisotropy (J/m³)
4.0001793778891725,-5.697773109561371,0.89% Molybdenum Disulfide/BPA-Ph
5.177444900261952,-5.79493038497926,0.89% Molybdenum Disulfide/BPA-Ph
10.153707009886494,-5.91652874789308,0.89% Molybdenum Disulfide/BPA-Ph
16.819770525292714,-5.953644405769146,0.89% Molybdenum Disulfide/BPA-Ph
18.17609859926703,-5.9559742134003475,0.89% Molybdenum Disulfide/BPA-Ph
4.0001793778891725,8.592845560105117,0.69% Molybdenum Disulfide/BPA-Ph
5.177444900261952,8.64437758421453,0.69% Molybdenum Disulfide/BPA-Ph
10.153707009886494,8.338769382988595,0.69% Molybdenum Disulfide/BPA-Ph
16.819770525292714,8.204084494132221,0.69% Molybdenum Disulfide/BPA-Ph
18.17609859926703,8.139807810313826,0.69% Molybdenum Disulfide/BPA-Ph
4.0001793778891725,-3.842240458592729,0.29% Molybdenum Disulfide/BPA-Ph
5.177444900261952,-3.817528561963057,0.29% Molybdenum Disulfide/BPA-Ph
10.153707009886494,-4.045623622836554,0.29% Molybdenum Disulfide/BPA-Ph
16.819770525292714,-4.245539158967931,0.29% Molybdenum Disulfide/BPA-Ph
18.17609859926703,-4.2551014187658875,0.29% Molybdenum Disulfide/BPA-Ph
4.0001793778891725,-6.587246428620597,0.45% Molybdenum Disulfide/BPA-Ph
5.177444900261952,-6.629060231383132,0.45% Molybdenum Disulfide/BPA-Ph
10.153707009886494,-6.833055404720349,0.45% Molybdenum Disulfide/BPA-Ph
16.819770525292714,-6.877772459770802,0.45% Molybdenum Disulfide/BPA-Ph
18.17609859926703,-6.879989295090322,0.45% Molybdenum Disulfide/BPA-Ph
4.0001793778891725,5.024311857592437,0.58% Molybdenum Disulfide/BPA-Ph
5.177444900261952,4.980042939704057,0.58% Molybdenum Disulfide/BPA-Ph
10.153707009886494,4.755057572435034,0.58% Molybdenum Disulfide/BPA-Ph
16.819770525292714,4.611892961248242,0.58% Molybdenum Disulfide/BPA-Ph
18.17609859926703,4.586199665330289,0.58% Molybdenum Disulfide/BPA-Ph
