Pressure (Pa),Compression Strength (MPa)
6.619496628923105,1.8716162173900153,SiO2/PEO
15.717449844575045,1.5945794015644779,SiO2/PEO
16.647997240162663,1.5713725284486593,SiO2/PEO
6.619496628923105,6.589527760132652,zinc oxide/PEO
15.717449844575045,6.47517077641299,zinc oxide/PEO
16.647997240162663,6.47298102511152,zinc oxide/PEO
6.619496628923105,-0.6843818205085005,Graphene/PEO
15.717449844575045,-1.0052152022845597,Graphene/PEO
16.647997240162663,-1.0311621128274475,Graphene/PEO
6.619496628923105,4.714050322870643,Carbon black/PEO
15.717449844575045,153.90295205817304,Carbon black/PEO
16.647997240162663,333.12379302977456,Carbon black/PEO
