Pore Volume (cm³/g),Kinematic Viscosity (mm²/s)
2.8901836258655944,6.052379578174652,0.74% SWCNT
8.699391044641319,5.797132973688388,0.74% SWCNT
9.10207008741721,5.704016826756812,0.74% SWCNT
16.4499112533484,5.498736574909343,0.74% SWCNT
2.8901836258655944,-0.4835326426942431,0.12% SWCNT
8.699391044641319,-0.7778228467839712,0.12% SWCNT
9.10207008741721,-0.8560007906536484,0.12% SWCNT
16.4499112533484,-1.0250092144232748,0.12% SWCNT
2.8901836258655944,-5.948884890835066,0.2% SWCNT
8.699391044641319,-6.291020617866682,0.2% SWCNT
9.10207008741721,-6.299476368709546,0.2% SWCNT
16.4499112533484,-6.360927937713671,0.2% SWCNT
