Thermal Diffusivity (mm²/s),Toughness (MJ/m³)
3.8292838046613764,4.69699662802065,triglycidyl para-aminophenol
4.633222776526075,4.932926828071698,triglycidyl para-aminophenol
7.386290452924746,5.217300511922279,triglycidyl para-aminophenol
12.631521098738222,7.53383006372371,triglycidyl para-aminophenol
14.135932110304099,3.6621237133879854,triglycidyl para-aminophenol
15.026071313270581,9.030296495960494,triglycidyl para-aminophenol
3.8292838046613764,-5.516716433715536,Poly(alpha-methylstyrene)
4.633222776526075,-6.535201729328404,Poly(alpha-methylstyrene)
7.386290452924746,-4.466645669458864,Poly(alpha-methylstyrene)
12.631521098738222,-5.226396078912336,Poly(alpha-methylstyrene)
14.135932110304099,-4.6575399062364475,Poly(alpha-methylstyrene)
15.026071313270581,-8.115045009950352,Poly(alpha-methylstyrene)
3.8292838046613764,-4.484941702473957,XNBR
4.633222776526075,-5.08388760727351,XNBR
7.386290452924746,-3.966477543660807,XNBR
12.631521098738222,-4.3062656353232285,XNBR
14.135932110304099,-2.2690859739947484,XNBR
15.026071313270581,-1.8140350782097663,XNBR
