Crystallinity (%),Hardness (HV)
3.5583102724040683,-3.3876501489902457,0.89% Thermal black/Sodium polyacrylate
3.8450208474899195,-3.5017825098227635,0.89% Thermal black/Sodium polyacrylate
16.21650583742767,-4.0059967005963735,0.89% Thermal black/Sodium polyacrylate
18.250198994324688,-4.047249563115781,0.89% Thermal black/Sodium polyacrylate
2,9.302461831157943,0.79% Thermal black/Sodium polyacrylate
6,10.61331060270668,0.79% Thermal black/Sodium polyacrylate
10,10.923892978544743,0.79% Thermal black/Sodium polyacrylate
19,589.1293762694021,0.79% Thermal black/Sodium polyacrylate
4,7.9219946624017075,0.79% Thermal black/Sodium polyacrylate
7,7.761475057018806,0.79% Thermal black/Sodium polyacrylate
8,7.659778311098743,0.79% Thermal black/Sodium polyacrylate
19,7.387640471322915,0.79% Thermal black/Sodium polyacrylate
2.4459635031385707,1.1065989882965894,0.45% Thermal black/Sodium polyacrylate
2.7383709231468667,1.7526268055746521,0.45% Thermal black/Sodium polyacrylate
6.038200735062784,7.1170298305450945,0.45% Thermal black/Sodium polyacrylate
7.514450476324912,12.097872661376408,0.45% Thermal black/Sodium polyacrylate
1,-2.405960159731186,0.29% Thermal black/Sodium polyacrylate
7,-3.0547337740978247,0.29% Thermal black/Sodium polyacrylate
8,-3.0885911673712783,0.29% Thermal black/Sodium polyacrylate
16,-3.165497767828393,0.29% Thermal black/Sodium polyacrylate
