Dielectric Constant,Specific Heat (J/(g·K))
1.361940813906961,2.860170442797065,0.65% Graphite/PVP
10.473027421905694,2.3467770926032796,0.65% Graphite/PVP
18.062311989241504,2.308764336477492,0.65% Graphite/PVP
2,4.437983618839978,0.76% Graphite/PVP
12,8.299786065532224,0.76% Graphite/PVP
17,14.119967788632376,0.76% Graphite/PVP
5,6.0566669784443965,0.17% Graphite/PVP
6,10.108786332506044,0.17% Graphite/PVP
13,13.048310342655359,0.17% Graphite/PVP
3,-1.1746555741674916,0.06% Graphite/PVP
7,-0.8458473157487154,0.06% Graphite/PVP
12,1.2492219811327585,0.06% Graphite/PVP
9.34461040192905,3.2472211742177532,0.33% Graphite/PVP
9.687379943302584,1.3174397481909348,0.33% Graphite/PVP
12.627388315971835,1.9330601011449442,0.33% Graphite/PVP
