Loading Concentration (%),Remanence (A/m)
2,-1.0458451586137922,Poly(hexafluoro propylene)
6,1.0088656248988608,Poly(hexafluoro propylene)
9,3.4980801104581474,Poly(hexafluoro propylene)
12,50.49533154698895,Poly(hexafluoro propylene)
16,250.82146237673825,Poly(hexafluoro propylene)
2,3.443708127863601,PVC
6,3.084496303322483,PVC
9,2.969974145058493,PVC
12,2.9287525293800276,PVC
16,2.908064602013509,PVC
2,2.33308681119537,PVDF
6,2.005163518806952,PVDF
9,1.7903583033251205,PVDF
12,1.7079529103770377,PVDF
16,1.6403478284195248,PVDF
