Evaporation Temperature (°C),Dynamic Viscosity (Pa·s)
1.4355466351024915,-5.680295933541301,0.13% TPP
1.8738405239482714,-5.843250782962925,0.13% TPP
9.6557189802432,-6.253477355309499,0.13% TPP
11.943462282219578,-6.377975451308571,0.13% TPP
1.4355466351024915,1.587654334674526,0.85% TPP
1.8738405239482714,1.8125086910266002,0.85% TPP
9.6557189802432,1.0953291906189553,0.85% TPP
11.943462282219578,1.0681853469226257,0.85% TPP
1.4355466351024915,4.805684554851064,0.63% TPP
1.8738405239482714,4.669622391849583,0.63% TPP
9.6557189802432,4.228544299974425,0.63% TPP
11.943462282219578,4.202084337511567,0.63% TPP
1.4355466351024915,9.23023927514731,0.59% TPP
1.8738405239482714,9.014342381973034,0.59% TPP
9.6557189802432,12.77852475513679,0.59% TPP
11.943462282219578,9.827500814918135,0.59% TPP
1.4355466351024915,3.610751695920171,0.05% TPP
1.8738405239482714,3.86543802615968,0.05% TPP
9.6557189802432,5.124355728932633,0.05% TPP
11.943462282219578,6.670283579468934,0.05% TPP
