Elongation At Break (%),Crystallinity (%)
0.05038415766671411,-3.3930239400959374,0.5% AuNPs
1.223921764878142,-3.52308634788416,0.5% AuNPs
5.60648278865642,-3.75772747937186,0.5% AuNPs
0.05038415766671411,7.781546620703906,0.51% AuNPs
1.223921764878142,8.246200248854585,0.51% AuNPs
5.60648278865642,8.36832255296933,0.51% AuNPs
0.05038415766671411,-3.5311335891306506,0.21% AuNPs
1.223921764878142,-3.1294013760848842,0.21% AuNPs
5.60648278865642,-4.385568987335558,0.21% AuNPs
0.05038415766671411,-5.778613944267838,0.85% AuNPs
1.223921764878142,-5.1971440579349455,0.85% AuNPs
5.60648278865642,-1.7175295132326491,0.85% AuNPs
0.05038415766671411,-3.636042860225269,0.53% AuNPs
1.223921764878142,-3.147973053664227,0.53% AuNPs
5.60648278865642,-2.211845618782164,0.53% AuNPs
