Ion Beam Dose (Gy),Heat Of Crystallization (J/g)
2,4.507181641248869,fumed silica/EPDM rubber
14,3.2943149007181347,fumed silica/EPDM rubber
15,175.95790527842024,fumed silica/EPDM rubber
16,139.76805563227526,fumed silica/EPDM rubber
17,74.44112393913365,fumed silica/EPDM rubber
2,-1.695596535959835,Cu(HO3PC6H5)2/EPDM rubber
14,-2.275618644178715,Cu(HO3PC6H5)2/EPDM rubber
15,-2.2806732246169936,Cu(HO3PC6H5)2/EPDM rubber
16,-2.2821117631340173,Cu(HO3PC6H5)2/EPDM rubber
17,-2.2849838395512294,Cu(HO3PC6H5)2/EPDM rubber
2,7.779127260908727,graphene nanoribbon/EPDM rubber
14,14.237105134283324,graphene nanoribbon/EPDM rubber
15,174.61560748301676,graphene nanoribbon/EPDM rubber
16,154.25834470050137,graphene nanoribbon/EPDM rubber
17,338.08664860498345,graphene nanoribbon/EPDM rubber
2,2.868659023099426,Aluminium dioxide/EPDM rubber
14,2.3520238564008595,Aluminium dioxide/EPDM rubber
15,2.3488615105584163,Aluminium dioxide/EPDM rubber
16,2.344910492875079,Aluminium dioxide/EPDM rubber
17,2.34330717241473,Aluminium dioxide/EPDM rubber
2,-1.7427317510994529,Carbon black/EPDM rubber
14,-2.3932931210774515,Carbon black/EPDM rubber
15,-2.418398189397928,Carbon black/EPDM rubber
16,-2.4173290220575265,Carbon black/EPDM rubber
17,-2.4523303645865697,Carbon black/EPDM rubber
