Shear Rate (1/s),Ionic Conductivity (S/m)
2,-3.7625113362940135,0.46% cellulose nanocrystal/PnBA
5,-0.7991577441459485,0.46% cellulose nanocrystal/PnBA
16,108.64187208135876,0.46% cellulose nanocrystal/PnBA
17,195.53332112638236,0.46% cellulose nanocrystal/PnBA
2,-3.1377455460794423,0.39% cellulose nanocrystal/PnBA
5,-3.0449577416129516,0.39% cellulose nanocrystal/PnBA
16,6.4014084549297685,0.39% cellulose nanocrystal/PnBA
17,13.10466597032395,0.39% cellulose nanocrystal/PnBA
2,2.622789805103212,0.4% cellulose nanocrystal/PnBA
5,4.68417157354766,0.4% cellulose nanocrystal/PnBA
16,165.07932425844902,0.4% cellulose nanocrystal/PnBA
17,207.35903336066866,0.4% cellulose nanocrystal/PnBA
