Filler Content (%),Heat Capacity (J/K)
5,-0.035571151091457365,Aluminium/PU
7,-0.3041827430874404,Aluminium/PU
8,2.3125620534029903,Aluminium/PU
18,9.57863402826977,Aluminium/PU
5,-3.329025621761146,Barium Titanate/PU
7,-3.6025028069965597,Barium Titanate/PU
8,-3.645632615322184,Barium Titanate/PU
18,-3.8780275015933126,Barium Titanate/PU
5,-6.965394198748171,aluminum/PU
7,-7.196879283984704,aluminum/PU
8,-7.27095991869905,aluminum/PU
18,-7.489548078272831,aluminum/PU
5,3.1222049856748226,Cloisite/PU
7,0.7313835808639317,Cloisite/PU
8,2.1786018929186475,Cloisite/PU
18,3.1252804599474366,Cloisite/PU
5,6.390447586125449,SWCNT/PU
7,6.4021198370226315,SWCNT/PU
8,6.367438518550458,SWCNT/PU
18,6.047513684491802,SWCNT/PU
