Stress (Pa),Coercivity (A/m)
11.833064886593547,4.685630998822301,0.62% OMMT/Poly(styrene-co-acrylonitrile)
14.723017710504996,4.670296554385001,0.62% OMMT/Poly(styrene-co-acrylonitrile)
16.41202082874511,4.665643071113925,0.62% OMMT/Poly(styrene-co-acrylonitrile)
11.833064886593547,-7.418915708957613,0.14% OMMT/Poly(styrene-co-acrylonitrile)
14.723017710504996,-7.43344931564698,0.14% OMMT/Poly(styrene-co-acrylonitrile)
16.41202082874511,-7.437945106855954,0.14% OMMT/Poly(styrene-co-acrylonitrile)
11.833064886593547,2.8909565656360496,0.05% OMMT/Poly(styrene-co-acrylonitrile)
14.723017710504996,2.876050147669338,0.05% OMMT/Poly(styrene-co-acrylonitrile)
16.41202082874511,2.8730639774154785,0.05% OMMT/Poly(styrene-co-acrylonitrile)
11.833064886593547,6.656127184262065,0.88% OMMT/Poly(styrene-co-acrylonitrile)
14.723017710504996,6.594008408552062,0.88% OMMT/Poly(styrene-co-acrylonitrile)
16.41202082874511,6.5619963449791525,0.88% OMMT/Poly(styrene-co-acrylonitrile)
