Pressure (Pa),Pore Size (nm)
0,-0.7924097861010333,Graphite oxide/P(VDF-TrFE)
6,-0.9483430770942051,Graphite oxide/P(VDF-TrFE)
8,-1.1492074016908544,Graphite oxide/P(VDF-TrFE)
15,-1.3822397488677722,Graphite oxide/P(VDF-TrFE)
16,-1.4124190289380834,Graphite oxide/P(VDF-TrFE)
18,-1.4509544356915807,Graphite oxide/P(VDF-TrFE)
3.005506093088428,8.02096398514765,Copper phenylphosphate/P(VDF-TrFE)
3.562165301253164,8.273487389432411,Copper phenylphosphate/P(VDF-TrFE)
6.042125360590173,8.093040202156967,Copper phenylphosphate/P(VDF-TrFE)
10.265865781484813,9.673039559314393,Copper phenylphosphate/P(VDF-TrFE)
13.651509855122866,11.221696667442227,Copper phenylphosphate/P(VDF-TrFE)
19.860338766128393,-15.649647347979313,Copper phenylphosphate/P(VDF-TrFE)
0.08129451213284566,1.9953238602436056,Graphite/P(VDF-TrFE)
1.9726374241639055,3.22949699475068,Graphite/P(VDF-TrFE)
6.037232433406556,2.826256282653353,Graphite/P(VDF-TrFE)
7.989526869244903,9.826494668338423,Graphite/P(VDF-TrFE)
8.996582338840756,13.797931465548523,Graphite/P(VDF-TrFE)
19.671138817814835,547.7888046442326,Graphite/P(VDF-TrFE)
