Stirring Speed (rpm),Compressive Modulus (GPa)
0,-4.703102986314184,0.03% Barium strontium titanate/PVDF
1,-4.282631579433112,0.03% Barium strontium titanate/PVDF
6,-3.3787521447006927,0.03% Barium strontium titanate/PVDF
9,-2.2319594315546856,0.03% Barium strontium titanate/PVDF
0,5.9895208577112955,0.14% Barium strontium titanate/PVDF
1,6.473680634378989,0.14% Barium strontium titanate/PVDF
6,7.344440408450406,0.14% Barium strontium titanate/PVDF
9,8.553806292334569,0.14% Barium strontium titanate/PVDF
0,9.016277368999805,0.85% Barium strontium titanate/PVDF
1,8.635881874546033,0.85% Barium strontium titanate/PVDF
6,8.058038506595846,0.85% Barium strontium titanate/PVDF
9,7.957297379223458,0.85% Barium strontium titanate/PVDF
