Holding Time (min),Kinematic Viscosity (mm²/s)
1,5.735626012250483,0.57%  Graphite
2,5.6525182331868695,0.57%  Graphite
7,5.239098277927508,0.57%  Graphite
13,5.154246307937024,0.57%  Graphite
15,5.147447242772732,0.57%  Graphite
18,5.140082663568491,0.57%  Graphite
3,8.088412387319478,0.16%  Graphite
4,8.009801673021691,0.16%  Graphite
5,8.003470832752921,0.16%  Graphite
15,7.616621865698473,0.16%  Graphite
16,7.601270497866858,0.16%  Graphite
19,7.542147572222541,0.16%  Graphite
4,7.833949293266642,0.91%  Graphite
5,7.711442530635017,0.91%  Graphite
9,7.590603176261131,0.91%  Graphite
12,7.5506323396548956,0.91%  Graphite
13,7.544043333699655,0.91%  Graphite
19,7.526381633035296,0.91%  Graphite
