Young’s Modulus (GPa),Shear Modulus (GPa)
2,3.245980755952346,Aluminium oxide/Polybenzimidazole
6,2.698983449047506,Aluminium oxide/Polybenzimidazole
12,2.580426484991747,Aluminium oxide/Polybenzimidazole
2,2.9988969965501995,Sodium titanate nanotubes/Polybenzimidazole
6,3.628776185615073,Sodium titanate nanotubes/Polybenzimidazole
12,7.8878728210872815,Sodium titanate nanotubes/Polybenzimidazole
2,-2.314563782379708,Zirconium dioxide/Polybenzimidazole
6,0.9541219387562068,Zirconium dioxide/Polybenzimidazole
12,71.14093431207402,Zirconium dioxide/Polybenzimidazole
2,4.98119392738147,Barium Titanate/Polybenzimidazole
6,9.600776267956011,Barium Titanate/Polybenzimidazole
12,51.19662774082718,Barium Titanate/Polybenzimidazole
