Reaction Temperature (°C),Fatigue Strength (MPa)
9,2.767299237666615,octyldimethylmethoxysilane/Poly(2-vinyl pyridine)
13,2.715583514391083,octyldimethylmethoxysilane/Poly(2-vinyl pyridine)
16,2.7016869007748725,octyldimethylmethoxysilane/Poly(2-vinyl pyridine)
17,2.6988223244836522,octyldimethylmethoxysilane/Poly(2-vinyl pyridine)
2.918313009362128,2.3175416468618346,MWCNTs/Poly(2-vinyl pyridine)
7.358358405102868,1.82741969445168,MWCNTs/Poly(2-vinyl pyridine)
17.53650883378964,1.5844169132960226,MWCNTs/Poly(2-vinyl pyridine)
18.83822946213544,1.5680506594524133,MWCNTs/Poly(2-vinyl pyridine)
11,-1.0020863097345662,SWCNT/Poly(2-vinyl pyridine)
14,-3.926192211023471,SWCNT/Poly(2-vinyl pyridine)
17,2.0600960817610146,SWCNT/Poly(2-vinyl pyridine)
18,-0.8650676303962177,SWCNT/Poly(2-vinyl pyridine)
3.8950199109634043,-4.6365293745790455, Graphite/Poly(2-vinyl pyridine)
13.229023873064742,-5.0546991753722885, Graphite/Poly(2-vinyl pyridine)
17.529620223225187,-5.134326161651626, Graphite/Poly(2-vinyl pyridine)
17.93733586216898,-5.139593911736736, Graphite/Poly(2-vinyl pyridine)
