Synthesis Time (min),Surface Area (m²/g)
4.881920644901947,-2.667766600356313,Morrocan montmorillonite/ABS
14.51405664276017,-2.9071774089320264,Morrocan montmorillonite/ABS
15.032324086909902,-2.9094669430852216,Morrocan montmorillonite/ABS
19.82502131135584,-2.918062126364239,Morrocan montmorillonite/ABS
4.881920644901947,0.30842557173498353,Fe2O3/ABS
14.51405664276017,157.1041398076828,Fe2O3/ABS
15.032324086909902,136.69349373774233,Fe2O3/ABS
19.82502131135584,99.20045596088133,Fe2O3/ABS
4.881920644901947,3.9524832472562395,Graphene oxide/ABS
14.51405664276017,147.04551616665913,Graphene oxide/ABS
15.032324086909902,282.9343422332441,Graphene oxide/ABS
19.82502131135584,230.19943702475638,Graphene oxide/ABS
4.881920644901947,-4.638594848340869,MWCNTs/ABS
14.51405664276017,4.31336016829772,MWCNTs/ABS
15.032324086909902,4.016026214163556,MWCNTs/ABS
19.82502131135584,7.161565039118839,MWCNTs/ABS
