Calcination Time (h),Young’s Modulus (GPa)
6.093584423214535,9.203068649166985,PVOH
12.438435696795523,71.35192980361052,PVOH
12.611327513977146,-29.60799758388728,PVOH
6.093584423214535,1.3513311294322894,PAM
12.438435696795523,1.0342361012299803,PAM
12.611327513977146,1.0453773574477332,PAM
6.093584423214535,-1.9119549124281083,Nylon 66
12.438435696795523,-2.042910557848964,Nylon 66
12.611327513977146,-2.0426462061582837,Nylon 66
6.093584423214535,4.926239482140296,Polybutadiene
12.438435696795523,51.05388413198525,Polybutadiene
12.611327513977146,12.793810924582335,Polybutadiene
