Reaction Temperature (°C),Particle Size Distribution
0.5945890968436451,-4.4112520096302665,TGDDM
2.604788826230653,-3.7730726701146917,TGDDM
4.320633091627155,-1.3570241763648117,TGDDM
16.367286496473387,53.820604019416955,TGDDM
0.5945890968436451,-5.256050979088834,PB-1
2.604788826230653,-4.960537505571406,PB-1
4.320633091627155,-2.733577866815865,PB-1
16.367286496473387,219.94562266260417,PB-1
0.5945890968436451,1.5734803739264773,PBuA
2.604788826230653,1.3201850724035773,PBuA
4.320633091627155,1.0349106321988282,PBuA
16.367286496473387,0.731752411424693,PBuA
0.5945890968436451,-3.365586591341482,Poly-trifluoroethylene
2.604788826230653,-3.661981334013517,Poly-trifluoroethylene
4.320633091627155,-3.761617190041642,Poly-trifluoroethylene
16.367286496473387,-4.0323298762822,Poly-trifluoroethylene
0.5945890968436451,-4.137373514292992,Poly(methyl acrylate)
2.604788826230653,-4.40252483095619,Poly(methyl acrylate)
4.320633091627155,-4.53927867696598,Poly(methyl acrylate)
16.367286496473387,-4.981349502507516,Poly(methyl acrylate)
