Young’s Modulus (GPa),Dielectric Breakdown Strength (MV/m)
7.364144157754735,-4.726348359101847,0.89% Morrocan montmorillonite
15.282177956737499,-4.928094463365767,0.89% Morrocan montmorillonite
16.279249401223474,-4.934258339016247,0.89% Morrocan montmorillonite
7.364144157754735,-5.086214405660239,0.84% Morrocan montmorillonite
15.282177956737499,-9.887040099494207,0.84% Morrocan montmorillonite
16.279249401223474,-2.4304551613141863,0.84% Morrocan montmorillonite
7.364144157754735,2.5246693356422947,0.94% Morrocan montmorillonite
15.282177956737499,2.4370276154183435,0.94% Morrocan montmorillonite
16.279249401223474,2.4339514285897854,0.94% Morrocan montmorillonite
7.364144157754735,2.2719907944569386,0.08% Morrocan montmorillonite
15.282177956737499,2.007894320356311,0.08% Morrocan montmorillonite
16.279249401223474,1.9860891613387146,0.08% Morrocan montmorillonite
7.364144157754735,-5.077188862025567,0.19% Morrocan montmorillonite
15.282177956737499,2.6448278034524844,0.19% Morrocan montmorillonite
16.279249401223474,-4.938469388072629,0.19% Morrocan montmorillonite
