Storage Time (days),Bond Strength (MPa)
5,2.4656187983234368,0.19% SWCNTs
7,5.547799623309448,0.19% SWCNTs
14,-34.45071744030968,0.19% SWCNTs
16,4.627971362956762,0.19% SWCNTs
17,272.5782980366621,0.19% SWCNTs
19,297.87379280412114,0.19% SWCNTs
5,-4.777509645340055,0.04% SWCNTs
7,-4.877622993100397,0.04% SWCNTs
14,-4.997184268063964,0.04% SWCNTs
16,-5.0032432500675625,0.04% SWCNTs
17,-5.005732805662718,0.04% SWCNTs
19,-5.008079965346839,0.04% SWCNTs
5,-4.249080553249344,0.97% SWCNTs
7,-4.383661693277447,0.97% SWCNTs
14,-2.6558986519246526,0.97% SWCNTs
16,4.206590880416442,0.97% SWCNTs
17,-18.94810879344934,0.97% SWCNTs
19,2.0640033160793383,0.97% SWCNTs
5,10.434682886871611,0.75% SWCNTs
7,15.948020579014276,0.75% SWCNTs
14,45.534848578163256,0.75% SWCNTs
16,-42.53898332331617,0.75% SWCNTs
17,38.88107117329208,0.75% SWCNTs
19,234.47919136870536,0.75% SWCNTs
5,6.980180607432425,0.55% SWCNTs
7,6.6641961702421435,0.55% SWCNTs
14,6.574454432621113,0.55% SWCNTs
16,6.517507890898292,0.55% SWCNTs
17,6.503337148158973,0.55% SWCNTs
19,6.472954022765726,0.55% SWCNTs
