Electric Field (V/m),Conductivity (S/m)
0.5742927325606262,3.821220425902321,0.56% high abrasion furnace black/PBA-a
4.5935477330791175,3.41194127997902,0.56% high abrasion furnace black/PBA-a
6.091360547093472,3.40004225673051,0.56% high abrasion furnace black/PBA-a
6.536904017629928,3.369777579030782,0.56% high abrasion furnace black/PBA-a
8.545371575123914,3.197037200141084,0.56% high abrasion furnace black/PBA-a
17.78067865153664,2.974740887109116,0.56% high abrasion furnace black/PBA-a
1.8853819168002217,5.167171830468206,0.7% high abrasion furnace black/PBA-a
4.037191216877767,6.779656457505618,0.7% high abrasion furnace black/PBA-a
6.87408660442453,10.40472400927439,0.7% high abrasion furnace black/PBA-a
12.547943651314256,89.1001074040759,0.7% high abrasion furnace black/PBA-a
16.802251666514042,465.11268766172293,0.7% high abrasion furnace black/PBA-a
19.706522774215145,-177.52299061837778,0.7% high abrasion furnace black/PBA-a
1,7.786919454263737,0.05% high abrasion furnace black/PBA-a
5,9.45653600590141,0.05% high abrasion furnace black/PBA-a
6,11.857811339299094,0.05% high abrasion furnace black/PBA-a
12,-4.327569841349995,0.05% high abrasion furnace black/PBA-a
14,52.82812413645746,0.05% high abrasion furnace black/PBA-a
18,-103.7492025841505,0.05% high abrasion furnace black/PBA-a
