Volume Fraction,Conductivity (S/m)
1.592640259610878,1.2068517677267194,OMMT/PVA
2.7979430902983826,1.2379023378715646,OMMT/PVA
5.80779033396799,0.9368142592208737,OMMT/PVA
9.840895525732844,0.7500693496563413,OMMT/PVA
19.511829406122597,0.5287256857323104,OMMT/PVA
1.592640259610878,2.6087051415091604, Graphite/PVA
2.7979430902983826,3.3886993836297483, Graphite/PVA
5.80779033396799,2.142505082637895, Graphite/PVA
9.840895525732844,3.5428347148697523, Graphite/PVA
19.511829406122597,7.124912962868751, Graphite/PVA
1.592640259610878,-3.089459302783614,graphene platelet/PVA
2.7979430902983826,-3.063256388979116,graphene platelet/PVA
5.80779033396799,-3.417211499795147,graphene platelet/PVA
9.840895525732844,-3.518289135385036,graphene platelet/PVA
19.511829406122597,-3.5671329294988685,graphene platelet/PVA
