Time (s),Corrosion Rate (mm/year)
11.72257925081406,-6.308238755137653,Au/S-EB-S
12.301919352983834,-6.310462636053364,Au/S-EB-S
14.207282868316454,-6.322578854676639,Au/S-EB-S
18.270776818303116,-6.331720985009441,Au/S-EB-S
19.890080673334914,-6.333309101088927,Au/S-EB-S
11.72257925081406,-7.8332269660687315,Fe2O3/S-EB-S
12.301919352983834,-7.841034401732045,Fe2O3/S-EB-S
14.207282868316454,-7.848579978961234,Fe2O3/S-EB-S
18.270776818303116,-7.859320550030351,Fe2O3/S-EB-S
19.890080673334914,-7.861064155204388,Fe2O3/S-EB-S
11.72257925081406,25.328897696782292,fumed silica/S-EB-S
12.301919352983834,47.752693823192025,fumed silica/S-EB-S
14.207282868316454,26.034781346145657,fumed silica/S-EB-S
18.270776818303116,281.5702332125899,fumed silica/S-EB-S
19.890080673334914,388.51818278194906,fumed silica/S-EB-S
