Holding Time (min),Thermal Resistance (K/W)
1.9372132151441934,-1.9985983649100616,graphite oxide/PU
15.35780334907436,7.292655269171085,graphite oxide/PU
19.100987273145535,0.556110556125609,graphite oxide/PU
19.347105712732777,8.354121114182778,graphite oxide/PU
1.9372132151441934,6.882262037850934,CuPP/PU
15.35780334907436,6.22314597373664,CuPP/PU
19.100987273145535,6.170657954853919,CuPP/PU
19.347105712732777,6.155999993268642,CuPP/PU
1.9372132151441934,8.319292959122267,Buckminsterfullerene/PU
15.35780334907436,7.7732033301094265,Buckminsterfullerene/PU
19.100987273145535,7.766356782290087,Buckminsterfullerene/PU
19.347105712732777,7.766038849374758,Buckminsterfullerene/PU
1.9372132151441934,6.888952978112103,high abrasion furnace black/PU
15.35780334907436,6.2792251628584825,high abrasion furnace black/PU
19.100987273145535,6.271837134941647,high abrasion furnace black/PU
19.347105712732777,6.2716390714946755,high abrasion furnace black/PU
